Indicator,Bangkok Avg,District 1021,District 1031,District 1037,District 1012,District 1035,Gap
Can Speak Thai (%),98.8871834228703,95.65217391304348,100.0,100.0,100.0,100.0,0.24325135973840872
Can Read Thai (%),97.0069071373753,100.0,95.23809523809523,91.48936170212765,95.74468085106383,91.80327868852459,-2.1518238414130337
Can Write Thai (%),96.58480429777437,93.47826086956522,95.23809523809523,91.48936170212765,97.87234042553192,93.44262295081968,-2.2806680605464322
Can Do Basic Math (%),96.93016116653875,91.30434782608695,90.47619047619048,95.74468085106383,95.74468085106383,98.36065573770492,-2.6040500181167516
Had Training (%),17.574827321565618,4.3478260869565215,2.380952380952381,4.25531914893617,4.25531914893617,0.0,-14.52694396840937
No Schooling (%),2.647735993860322,4.3478260869565215,2.380952380952381,8.51063829787234,14.893617021276595,8.19672131147541,5.018215025846327
Primary Education (%),56.600153491941676,89.13043478260869,80.95238095238095,74.46808510638297,63.829787234042556,68.85245901639344,18.846475926420034
Secondary Education (%),21.181887950882576,2.1739130434782608,11.904761904761903,14.893617021276595,19.148936170212767,9.836065573770492,-9.590429208182574
Vocational Education (%),8.94090560245587,4.3478260869565215,2.380952380952381,0.0,2.127659574468085,9.836065573770492,-5.202404879226375
Higher Education (%),10.629316960859555,0.0,2.380952380952381,2.127659574468085,0.0,3.278688524590164,-9.071856864857429
Average Education Level,3.015732924021489,1.891304347826087,2.0,2.0851063829787235,2.0425531914893615,2.3278688524590163,-0.9463663690708515
