Indicator,Bangkok Avg,District 1014,District 1037,District 1033,District 1029,District 1044,Gap
Home Ownership Rate (%),50.23023791250959,38.70967741935484,6.382978723404255,5.263157894736842,59.01639344262295,43.90243902439025,-19.575308611607763
Water Access (%),99.69301611665388,95.16129032258065,100.0,100.0,100.0,100.0,0.6607580521377514
Electricity Access (%),99.8848810437452,100.0,100.0,100.0,100.0,100.0,-0.11511895625480406
Waste Management (%),93.93706830391405,98.38709677419355,100.0,97.36842105263158,40.98360655737705,100.0,-6.589243427073612
Sanitation Access (%),88.02762854950115,37.096774193548384,87.2340425531915,86.8421052631579,36.0655737704918,97.5609756097561,19.06773427147202
Housing Overcrowding (%),38.79508825786646,98.38709677419355,93.61702127659575,81.57894736842105,98.36065573770492,92.6829268292683,54.13024133937025
Disaster Experience (%),20.184190330007677,77.41935483870968,14.893617021276595,28.947368421052634,0.0,75.60975609756098,19.189828945712303
Pollution Exposure (%),42.05679201841903,61.29032258064516,70.2127659574468,55.26315789473685,88.52459016393442,36.58536585365854,20.31844847166532
Has Ramp/Accessibility (%),8.44205679201842,0.0,0.0,0.0,8.19672131147541,0.0,6.802712529723338
Has Handrails (%),8.480429777436685,0.0,0.0,0.0,18.0327868852459,0.0,-4.873872400387505
Has Public Recreation Space (%),34.42056792018419,0.0,17.02127659574468,57.89473684210527,0.0,7.317073170731707,-17.97395059846786
Has Health Facility (%),21.949347659247888,0.0,0.0,50.0,0.0,2.4390243902439024,-11.461542781199107
