district_code,district_name,total,general_count,general_pct,lgbt_count,lgbt_pct,elderly_count,elderly_pct,disabled_count,disabled_pct,informal_count,informal_pct,response_category
1001,เขตพระนคร,108,15,13.9,8,7.4,64,59.3,19,17.6,40,37.0,Low Response (<110)
1002,เขตดุสิต,129,29,22.5,15,11.6,62,48.1,11,8.5,58,45.0,Medium Response (110-149)
1003,เขตหนองจอก,127,27,21.3,9,7.1,60,47.2,20,15.7,46,36.2,Medium Response (110-149)
1004,เขตบางรัก,153,34,22.2,27,17.6,57,37.3,9,5.9,64,41.8,High Response (>150)
1005,เขตบางเขน,126,23,18.3,15,11.9,57,45.2,32,25.4,36,28.6,Medium Response (110-149)
1006,เขตบางกะปิ,129,19,14.7,12,9.3,53,41.1,17,13.2,65,50.4,Medium Response (110-149)
1007,เขตปทุมวัน,131,32,24.4,12,9.2,47,35.9,5,3.8,67,51.1,Medium Response (110-149)
1008,เขตป้อมปราบศัตรูพ่าย,146,27,18.5,15,10.3,61,41.8,12,8.2,72,49.3,Medium Response (110-149)
1009,เขตพระโขนง,222,41,18.5,10,4.5,111,50.0,16,7.2,87,39.2,High Response (>150)
1010,เขตมีนบุรี,124,13,10.5,17,13.7,78,62.9,16,12.9,30,24.2,Medium Response (110-149)
1011,เขตลาดกระบัง,124,25,20.2,24,19.4,45,36.3,8,6.5,66,53.2,Medium Response (110-149)
1012,เขตยานนาวา,125,28,22.4,8,6.4,54,43.2,11,8.8,54,43.2,Medium Response (110-149)
1013,เขตสัมพันธวงศ์,107,17,15.9,15,14.0,46,43.0,3,2.8,68,63.6,Low Response (<110)
1014,เขตพญาไท,129,19,14.7,14,10.9,71,55.0,14,10.9,51,39.5,Medium Response (110-149)
1015,เขตธนบุรี,85,22,25.9,14,16.5,21,24.7,4,4.7,41,48.2,Low Response (<110)
1016,เขตบางกอกใหญ่,110,9,8.2,13,11.8,69,62.7,16,14.5,39,35.5,Medium Response (110-149)
1017,เขตห้วยขวาง,135,32,23.7,12,8.9,70,51.9,18,13.3,45,33.3,Medium Response (110-149)
1018,เขตคลองสาน,125,25,20.0,12,9.6,52,41.6,12,9.6,64,51.2,Medium Response (110-149)
1019,เขตตลิ่งชัน,153,54,35.3,8,5.2,43,28.1,17,11.1,61,39.9,High Response (>150)
1020,เขตบางกอกน้อย,119,22,18.5,11,9.2,58,48.7,18,15.1,63,52.9,Medium Response (110-149)
1021,เขตบางขุนเทียน,125,18,14.4,13,10.4,59,47.2,20,16.0,54,43.2,Medium Response (110-149)
1022,เขตภาษีเจริญ,126,24,19.0,11,8.7,52,41.3,8,6.3,61,48.4,Medium Response (110-149)
1023,เขตหนองแขม,114,17,14.9,11,9.6,65,57.0,9,7.9,44,38.6,Medium Response (110-149)
1024,เขตราษฏร์บูรณะ,123,21,17.1,13,10.6,65,52.8,12,9.8,46,37.4,Medium Response (110-149)
1025,เขตบางพลัด,136,28,20.6,20,14.7,68,50.0,10,7.4,43,31.6,Medium Response (110-149)
1026,เขตดินแดง,125,21,16.8,19,15.2,63,50.4,7,5.6,41,32.8,Medium Response (110-149)
1027,เขตบึงกุ่ม,118,22,18.6,18,15.3,37,31.4,7,5.9,67,56.8,Medium Response (110-149)
1028,เขตสาทร,153,40,26.1,14,9.2,65,42.5,12,7.8,72,47.1,High Response (>150)
1029,เขตบางซื่อ,124,22,17.7,12,9.7,74,59.7,13,10.5,39,31.5,Medium Response (110-149)
1030,เขตจตุจักร,134,25,18.7,19,14.2,70,52.2,12,9.0,44,32.8,Medium Response (110-149)
1031,เขตบางคอแหลม,124,27,21.8,11,8.9,47,37.9,8,6.5,53,42.7,Medium Response (110-149)
1032,เขตประเวศ,125,24,19.2,9,7.2,39,31.2,7,5.6,63,50.4,Medium Response (110-149)
1033,เขตคลองเตย,121,21,17.4,21,17.4,52,43.0,21,17.4,51,42.1,Medium Response (110-149)
1034,เขตสวนหลวง,116,14,12.1,16,13.8,85,73.3,10,8.6,34,29.3,Medium Response (110-149)
1035,เขตจอมทอง,125,14,11.2,8,6.4,67,53.6,10,8.0,60,48.0,Medium Response (110-149)
1036,เขตดอนเมือง,136,23,16.9,17,12.5,52,38.2,12,8.8,68,50.0,Medium Response (110-149)
1037,เขตราชเทวี,145,43,29.7,18,12.4,55,37.9,21,14.5,51,35.2,Medium Response (110-149)
1038,เขตลาดพร้าว,176,20,11.4,11,6.2,89,50.6,9,5.1,89,50.6,High Response (>150)
1039,เขตวัฒนา,147,32,21.8,20,13.6,43,29.3,10,6.8,100,68.0,Medium Response (110-149)
1040,เขตบางแค,131,22,16.8,21,16.0,47,35.9,9,6.9,63,48.1,Medium Response (110-149)
1041,เขตหลักสี่,124,26,21.0,9,7.3,71,57.3,20,16.1,38,30.6,Medium Response (110-149)
1042,เขตสายไหม,112,20,17.9,3,2.7,70,62.5,9,8.0,34,30.4,Medium Response (110-149)
1043,เขตคันนายาว,126,28,22.2,17,13.5,61,48.4,14,11.1,35,27.8,Medium Response (110-149)
1044,เขตสะพานสูง,131,33,25.2,9,6.9,43,32.8,3,2.3,70,53.4,Medium Response (110-149)
1045,เขตวังทองหลาง,151,30,19.9,8,5.3,90,59.6,18,11.9,50,33.1,High Response (>150)
1046,เขตคลองสามวา,122,32,26.2,10,8.2,53,43.4,29,23.8,35,28.7,Medium Response (110-149)
1047,เขตบางนา,129,23,17.8,25,19.4,60,46.5,9,7.0,48,37.2,Medium Response (110-149)
1048,เขตทวีวัฒนา,123,20,16.3,10,8.1,61,49.6,7,5.7,56,45.5,Medium Response (110-149)
1049,เขตทุ่งครุ,148,40,27.0,12,8.1,66,44.6,15,10.1,51,34.5,Medium Response (110-149)
1050,เขตบางบอน,126,25,19.8,9,7.1,38,30.2,9,7.1,59,46.8,Medium Response (110-149)
