dcode,dname,sdname,community_health_worker_count
1001,พระนคร,วังบูรพาภิรมย์,29
1037,ราชเทวี,มักกะสัน,111
1029,บางซื่อ,บางซื่อ,138
1026,ดินแดง,ดินแดง,181
1007,ปทุมวัน,วังใหม่,51
1002,ดุสิต,สี่แยกมหานาค,67
1012,ยานนาวา,บางโพงพาง,50
1047,บางนา,บางนาเหนือ,144
1001,พระนคร,บางขุนพรหม,59
1033,คลองเตย,คลองตัน,59
1014,พญาไท,พญาไท,78
1031,บางคอแหลม,บางโคล่ ,117
1013,สัมพันธวงศ์,จักรวรรดิ์,41
1031,บางคอแหลม,วัดพระยาไกร,79
1045,วังทองหลาง,สามเสนนอก,123
1007,ปทุมวัน,ลุมพินี,94
1030,จตุจักร,ลาดยาว,154
1031,บางคอแหลม,บางโคล่ ,56
1029,บางซื่อ,บางซื่อ,128
1008,ป้อมปราบศัตรูพ่าย,วัดโสมนัส,74
1039,วัฒนา,พระโขนงเหนือ,161
1034,สวนหลวง,สวนหลวง,127
1004,บางรัก,สี่พระยา,75
1005,บางเขน,ลาดยาว,501
1017,ห้วยขวาง,ห้วยขวาง,116
1015,ธนบุรี,แขวงวัดกัลยา,80
1015,ธนบุรี,บางยี่เรือ,79
1018,คลองสาน,บางลำภูล่าง,170
1035,จอมทอง,บางค้อ,250
1020,บางกอกน้อย,บางขุนนนท์,261
1025,บางพลัด,บางอ้อ,198
1047,บางนา,บางจาก,133
1016,บางกอกใหญ่,วัดอรุณ,131
1009,พระโขนง,พระโขนงใต้,156
1006,บางกะปิ,หัวหมาก,283
1015,ธนบุรี,ดาวคะนอง,111
1034,สวนหลวง,สวนหลวง,183
1002,ดุสิต,ถนนนครไชยศรี,99
1024,ราษฎร์บูรณะ,ราษฎร์บูรณะ,95
1040,บางแค,บางแคเหนือ,333
1033,คลองเตย,คลองเตย,257
1021,บางขุนเทียน,แสมดำ,202
1010,มีนบุรี,มีนบุรี,512
1003,หนองจอก,ลำผักชี,753
1011,ลาดกระบัง,คลองสองต้นนุ่น,468
1011,ลาดกระบัง,ลาดกระบัง,287
1022,ภาษีเจริญ,บางแวก,187
1023,หนองแขม,หนองแขม,502
1019,ตลิ่งชัน,ตลิ่งชัน,238
1027,บึงกุ่ม,คลองกุ่ม,215
1030,จตุจักร,จอมพล,141
1026,ดินแดง,ดินแดง,76
1041,หลักสี่,ทุ่งสองห้อง,279
1049,ทุ่งครุ,บางมด,108
1012,ยานนาวา,ช่องนนทรี,85
1027,บึงกุ่ม,นวลจันทร์,244
1032,ประเวศ,หนองบอน,138
1024,ราษฎร์บูรณะ,บางปะกอก,97
1049,ทุ่งครุ,ทุ่งครุ,89
1036,ดอนเมือง,ดอนเมือง,328
1042,สายไหม,สายไหม,486
1022,ภาษีเจริญ,บางหว้า,126
1028,สาทร,ทุ่งวัดดอน,66
1046,คลองสามวา,บางชัน,829
1050,บางบอน,บางบอน,129
1038,ลาดพร้าว,ลาดพร้าว,246
1048,ทวีวัฒนา,ทวีวัฒนา,191
1044,สะพานสูง,สะพานสูง,243
1043,คันนายาว,คันนายาว,377
