dcode,dname,total,general_count,lgbt_count,elderly_count,disabled_count,informal_count
1001,เขตพระนคร,108,15,8,64,19,40
1002,เขตดุสิต,129,29,15,62,11,58
1003,เขตหนองจอก,127,27,9,60,20,46
1004,เขตบางรัก,153,34,27,57,9,64
1005,เขตบางเขน,126,23,15,57,32,36
1006,เขตบางกะปิ,129,19,12,53,17,65
1007,เขตปทุมวัน,131,32,12,47,5,67
1008,เขตป้อมปราบศัตรูพ่าย,146,27,15,61,12,72
1009,เขตพระโขนง,222,41,10,111,16,87
1010,เขตมีนบุรี,124,13,17,78,16,30
1011,เขตลาดกระบัง,124,25,24,45,8,66
1012,เขตยานนาวา,125,28,8,54,11,54
1013,เขตสัมพันธวงศ์,107,17,15,46,3,68
1014,เขตพญาไท,129,19,14,71,14,51
1015,เขตธนบุรี,85,22,14,21,4,41
1016,เขตบางกอกใหญ่,110,9,13,69,16,39
1017,เขตห้วยขวาง,135,32,12,70,18,45
1018,เขตคลองสาน,125,25,12,52,12,64
1019,เขตตลิ่งชัน,153,54,8,43,17,61
1020,เขตบางกอกน้อย,119,22,11,58,18,63
1021,เขตบางขุนเทียน,125,18,13,59,20,54
1022,เขตภาษีเจริญ,126,24,11,52,8,61
1023,เขตหนองแขม,114,17,11,65,9,44
1024,เขตราษฏร์บูรณะ,123,21,13,65,12,46
1025,เขตบางพลัด,136,28,20,68,10,43
1026,เขตดินแดง,125,21,19,63,7,41
1027,เขตบึงกุ่ม,118,22,18,37,7,67
1028,เขตสาทร,153,40,14,65,12,72
1029,เขตบางซื่อ,124,22,12,74,13,39
1030,เขตจตุจักร,134,25,19,70,12,44
1031,เขตบางคอแหลม,124,27,11,47,8,53
1032,เขตประเวศ,125,24,9,39,7,63
1033,เขตคลองเตย,121,21,21,52,21,51
1034,เขตสวนหลวง,116,14,16,85,10,34
1035,เขตจอมทอง,125,14,8,67,10,60
1036,เขตดอนเมือง,136,23,17,52,12,68
1037,เขตราชเทวี,145,43,18,55,21,51
1038,เขตลาดพร้าว,176,20,11,89,9,89
1039,เขตวัฒนา,147,32,20,43,10,100
1040,เขตบางแค,131,22,21,47,9,63
1041,เขตหลักสี่,124,26,9,71,20,38
1042,เขตสายไหม,112,20,3,70,9,34
1043,เขตคันนายาว,126,28,17,61,14,35
1044,เขตสะพานสูง,131,33,9,43,3,70
1045,เขตวังทองหลาง,151,30,8,90,18,50
1046,เขตคลองสามวา,122,32,10,53,29,35
1047,เขตบางนา,129,23,25,60,9,48
1048,เขตทวีวัฒนา,123,20,10,61,7,56
1049,เขตทุ่งครุ,148,40,12,66,15,51
1050,เขตบางบอน,126,25,9,38,9,59
